epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1149.97,1.08429,0.62602,1.1715,0.92614,0.86157,0.92376,0.56485,1.34408,0.64523,1.43857,0.000438703,0.000438703,0.000438703
72,1165.5,1.06869,0.62049,1.16404,0.90183,0.89023,0.92908,0.57534,1.33948,0.63976,1.44745,0.000424556,0.000424556,0.000424556
73,1180.87,1.05424,0.61486,1.15943,0.917,0.8951,0.933,0.57061,1.33726,0.62617,1.44802,0.000410409,0.000410409,0.000410409
74,1196.41,1.07432,0.62369,1.17181,0.93759,0.85912,0.93459,0.55697,1.38037,0.64978,1.48897,0.000396262,0.000396262,0.000396262
75,1211.96,1.05032,0.60915,1.15563,0.9094,0.89102,0.93206,0.57376,1.35335,0.62706,1.46156,0.000382115,0.000382115,0.000382115
76,1227.42,1.03457,0.59051,1.14369,0.92002,0.89097,0.93369,0.57175,1.35169,0.62957,1.45609,0.000367967,0.000367967,0.000367967
77,1242.85,1.03946,0.60784,1.15597,0.90573,0.88258,0.93355,0.56272,1.37345,0.6361,1.47011,0.00035382,0.00035382,0.00035382
78,1258.44,1.03962,0.5941,1.14942,0.91264,0.88692,0.93494,0.56467,1.36432,0.62184,1.45464,0.000339673,0.000339673,0.000339673
79,1274.12,1.04141,0.59195,1.14971,0.89939,0.88727,0.92452,0.56548,1.34967,0.62496,1.44027,0.000325526,0.000325526,0.000325526
80,1289.78,1.01919,0.58087,1.14002,0.90532,0.89757,0.93254,0.57523,1.33666,0.62023,1.43714,0.000311379,0.000311379,0.000311379
81,1305.55,1.02555,0.57774,1.14317,0.8922,0.89687,0.93,0.57446,1.33993,0.6312,1.44518,0.000297232,0.000297232,0.000297232
82,1321.28,1.03902,0.5881,1.14766,0.90383,0.8842,0.92582,0.56621,1.35322,0.62862,1.45784,0.000283085,0.000283085,0.000283085
83,1336.93,1.02608,0.57835,1.1423,0.90533,0.88722,0.92673,0.57032,1.33971,0.63205,1.45919,0.000268938,0.000268938,0.000268938
84,1352.37,0.99561,0.56711,1.12837,0.92249,0.87597,0.93235,0.57497,1.35216,0.62633,1.45237,0.000254791,0.000254791,0.000254791
85,1367.73,1.00134,0.57087,1.13557,0.9227,0.87299,0.93067,0.57569,1.33105,0.62472,1.43035,0.000240644,0.000240644,0.000240644
86,1383.19,0.9932,0.56322,1.1233,0.90636,0.90287,0.93638,0.57181,1.34767,0.6229,1.45045,0.000226497,0.000226497,0.000226497
87,1398.93,1.00133,0.5634,1.12929,0.93242,0.86567,0.93254,0.57384,1.3624,0.63916,1.47675,0.000212349,0.000212349,0.000212349
